step,crossentropy,val crossentropy,acc micro,val acc micro,acc macro,val acc macro
1,1.4739440920807065,0.7754054665565491,0.5774239697715357,0.7739664912223816,0.2817351615854672,0.4932283212741216
2,0.5574997322899955,0.4054330637057622,0.8344691722165971,0.882617175579071,0.5860222372270766,0.6694947878519694
3,0.32769357448532466,0.2884219487508138,0.9042120065007891,0.9175943930943807,0.703288870198386,0.7332344055175781
4,0.22885538992427645,0.24435998499393463,0.933262417713801,0.9291585187117258,0.756420625107629,0.759543220202128
5,0.1747569324714797,0.2206922098994255,0.9489211369128454,0.9363118410110474,0.7916492933318728,0.7821037173271179
6,0.14148745756773723,0.21319334457317987,0.9587611584436326,0.9388590554396311,0.8212200658661979,0.8047510186831156
7,0.11937966907308215,0.20606719702482224,0.9649355894043332,0.9418375492095947,0.8407668017205738,0.8057064215342203
8,0.10371869288030125,0.21130195260047913,0.9693533778190613,0.9410563111305237,0.8575674565065474,0.8137432138125101
9,0.09215196168848447,0.20689398547013602,0.972649274837403,0.9427408774693807,0.8700528300943828,0.8185667395591736
10,0.08346338268546831,0.20095169792572656,0.9749744236469269,0.9444254338741302,0.8804779322374434,0.8221597969532013
11,0.07420979706304413,0.20510469377040863,0.9777948260307312,0.944067378838857,0.8938761807623363,0.8206685185432434
12,0.06974112455333982,0.20457839220762253,0.9793457034088316,0.9443196753660837,0.8981925192333403,0.8270911872386932
13,0.06628604907365072,0.20419935385386148,0.9802931987103962,0.9449381530284882,0.903341415382567,0.8278881013393402
14,0.0632809494577703,0.20510386923948923,0.9811976821649642,0.9448811809221903,0.9088052795046851,0.8259507715702057
15,0.06017479495633216,0.21090040604273477,0.982019624539784,0.9443278014659882,0.9131767579487392,0.831659326950709
16,0.057278740618910105,0.20773782084385553,0.9829182922840118,0.9453938802083334,0.9161893143540337,0.8358997305234274
17,0.054880004997054734,0.20991025616725287,0.9836472272872925,0.9451416035493215,0.9218984317211878,0.8347076574961344
18,0.052515747114306406,0.2109373907248179,0.9844017369406564,0.944775382677714,0.9267025362877619,0.8378636141618093
19,0.049826866281884055,0.21603339165449142,0.9852399513834998,0.9444579978783926,0.9289129816350483,0.8420428733030955
20,0.047860443414676754,0.2165391743183136,0.9858351931685493,0.9450195332368215,0.9326974834714618,0.8264872630437216
